,"['Accurate Color Representation', 'Blue/Green Color Cast']_1","['Accurate Color Representation', 'Blue/Green Color Cast']_2","['Backlit Subjects', 'Frontlit Subjects']_1","['Backlit Subjects', 'Frontlit Subjects']_2","['Soft Focus', 'Sharp Detail']_1","['Soft Focus', 'Sharp Detail']_2","['Wide Angle', 'Macro']_1","['Wide Angle', 'Macro']_2","['Underexposed', 'Overexposed']_1","['Underexposed', 'Overexposed']_2","['Shallow Depth of Field', 'Deep Depth of Field']_1","['Shallow Depth of Field', 'Deep Depth of Field']_2","['High ISO Noise', 'Low ISO Clarity']_1","['High ISO Noise', 'Low ISO Clarity']_2","['Filtered Light', 'Direct Light']_1","['Filtered Light', 'Direct Light']_2","['Dynamic Movement', 'Static Calm']_1","['Dynamic Movement', 'Static Calm']_2","['Clarity', 'Murkiness']_1","['Clarity', 'Murkiness']_2","['Textured Surfaces', 'Smooth Surfaces']_1","['Textured Surfaces', 'Smooth Surfaces']_2","['Top-Down View', 'Eye-Level View']_1","['Top-Down View', 'Eye-Level View']_2","['Natural Ambient Light', 'Artificial Light']_1","['Natural Ambient Light', 'Artificial Light']_2","['Unaltered Colors', 'Color Enhanced']_1","['Unaltered Colors', 'Color Enhanced']_2","['Organic Shapes', 'Geometric Structures']_1","['Organic Shapes', 'Geometric Structures']_2","['Silhouetted', 'Illuminated Subjects']_1","['Silhouetted', 'Illuminated Subjects']_2","['Foreground Interest', 'Background Dominance']_1","['Foreground Interest', 'Background Dominance']_2"
./uieb_dataset/raw-890/373_img_.png,0.055,0.945,0.4,0.6,0.0792,0.921,0.9604,0.03964,0.752,0.248,0.01772,0.9824,0.363,0.637,0.1009,0.899,0.6895,0.3108,0.637,0.363,0.07367,0.9263,0.434,0.566,0.7056,0.2942,0.3738,0.626,0.363,0.637,0.8965,0.10376,0.4766,0.5234
./uieb_dataset/raw-890/763_img_.png,0.00649,0.9937,0.3242,0.676,0.008514,0.9917,0.3887,0.6113,0.941,0.0592,0.2942,0.7056,0.1688,0.831,0.251,0.749,0.2255,0.7744,0.1824,0.8174,0.686,0.314,0.9355,0.06464,0.3486,0.6514,0.4148,0.585,0.4111,0.589,0.381,0.6187,0.9307,0.0695
./uieb_dataset/raw-890/60_img_.png,0.03114,0.9688,0.1461,0.854,0.254,0.746,0.907,0.0927,0.2644,0.736,0.094,0.906,0.461,0.539,0.1755,0.824,0.2255,0.7744,0.596,0.4036,0.3557,0.644,0.7026,0.2974,0.3774,0.6226,0.637,0.363,0.3381,0.662,0.1871,0.813,0.8916,0.1082
./uieb_dataset/raw-890/67_img_.png,0.2255,0.7744,0.0914,0.9087,0.00582,0.994,0.7744,0.2255,0.455,0.545,0.1755,0.824,0.15,0.85,0.269,0.731,0.08386,0.916,0.856,0.1442,0.562,0.4377,0.8726,0.1277,0.902,0.0981,0.74,0.2598,0.06097,0.939,0.10895,0.891,0.731,0.269
./uieb_dataset/raw-890/437_img_.png,0.012825,0.9873,0.4226,0.5776,0.094,0.906,0.3486,0.6514,0.615,0.385,0.0901,0.9097,0.11755,0.8823,0.37,0.63,0.0863,0.9136,0.3276,0.6724,0.699,0.3008,0.6187,0.381,0.6655,0.3345,0.644,0.3557,0.5234,0.4766,0.2847,0.7153,0.9243,0.07587
./uieb_dataset/raw-890/642_img_.png,0.2659,0.734,0.1442,0.856,0.4036,0.596,0.725,0.2751,0.626,0.3738,0.269,0.731,0.1919,0.808,0.4377,0.562,0.331,0.669,0.696,0.304,0.7217,0.2783,0.755,0.2451,0.89,0.1097,0.7637,0.2366,0.1023,0.8975,0.1561,0.8438,0.895,0.1052
./uieb_dataset/raw-890/240_img_.png,0.868,0.1321,0.508,0.4922,0.1348,0.865,0.6226,0.3774,0.568,0.4321,0.1871,0.813,0.154,0.8457,0.3774,0.6226,0.3486,0.6514,0.589,0.4111,0.1461,0.854,0.8267,0.1733,0.9175,0.0827,0.856,0.1442,0.4036,0.596,0.626,0.3738,0.615,0.385
./uieb_dataset/raw-890/316_img_.png,0.171,0.829,0.152,0.848,0.4187,0.5815,0.829,0.171,0.363,0.637,0.03021,0.9697,0.171,0.829,0.7026,0.2974,0.04672,0.953,0.9033,0.0967,0.7153,0.2847,0.3774,0.6226,0.89,0.1097,0.5195,0.4805,0.04147,0.9585,0.808,0.1919,0.662,0.3381
./uieb_dataset/raw-890/199_img_.png,0.22,0.78,0.2095,0.7905,0.6074,0.3923,0.9683,0.03162,0.788,0.212,0.18,0.82,0.07263,0.9272,0.5776,0.4226,0.0628,0.937,0.905,0.09534,0.731,0.269,0.272,0.728,0.937,0.0628,0.8706,0.1294,0.0901,0.9097,0.3074,0.693,0.961,0.03906
./uieb_dataset/raw-890/622_img_.png,0.1943,0.8057,0.3738,0.626,0.4,0.6,0.543,0.457,0.363,0.637,0.2147,0.785,0.07806,0.922,0.4417,0.558,0.669,0.331,0.969,0.03067,0.4226,0.5776,0.7983,0.2018,0.9424,0.0575,0.7607,0.2394,0.543,0.457,0.363,0.637,0.637,0.363
./uieb_dataset/raw-890/296_img_.png,0.12085,0.879,0.4456,0.5547,0.955,0.04468,0.856,0.1442,0.461,0.539,0.3242,0.676,0.04813,0.9517,0.5156,0.4844,0.0628,0.937,0.9243,0.07587,0.3208,0.679,0.6074,0.3923,0.8374,0.1624,0.9097,0.0901,0.3738,0.626,0.1294,0.8706,0.9326,0.06757
./uieb_dataset/raw-890/728_img_.png,0.2815,0.7188,0.699,0.3008,0.696,0.304,0.9253,0.07477,0.4922,0.508,0.1896,0.8105,0.171,0.829,0.5,0.5,0.6113,0.3887,0.842,0.1582,0.4263,0.5737,0.6655,0.3345,0.699,0.3008,0.7056,0.2942,0.3452,0.655,0.11597,0.8843,0.9443,0.05582
./uieb_dataset/raw-890/144_img_.png,0.12085,0.879,0.4148,0.585,0.954,0.04602,0.7607,0.2394,0.693,0.3074,0.1646,0.8354,0.0656,0.9346,0.3416,0.658,0.1755,0.824,0.961,0.03906,0.504,0.496,0.734,0.2659,0.808,0.1919,0.749,0.251,0.1688,0.831,0.728,0.272,0.772,0.2281
./uieb_dataset/raw-890/620_img_.png,0.3452,0.655,0.396,0.604,0.4187,0.5815,0.3074,0.693,0.655,0.3452,0.0981,0.902,0.0927,0.907,0.3108,0.6895,0.1561,0.8438,0.9365,0.0637,0.381,0.6187,0.8057,0.1943,0.84,0.1603,0.788,0.212,0.11127,0.8887,0.3594,0.6406,0.6113,0.3887
./uieb_dataset/raw-890/920_img_.png,0.1688,0.831,0.4688,0.5312,0.0804,0.9194,0.3174,0.6826,0.848,0.152,0.314,0.686,0.331,0.669,0.269,0.731,0.504,0.496,0.8223,0.1779,0.1294,0.8706,0.8857,0.1144,0.5815,0.4187,0.6074,0.3923,0.6724,0.3276,0.02759,0.9727,0.954,0.04602
./uieb_dataset/raw-890/32_img_.png,0.4148,0.585,0.2394,0.7607,0.02145,0.9785,0.895,0.1052,0.593,0.4072,0.07587,0.9243,0.0827,0.9175,0.4534,0.547,0.094,0.906,0.829,0.171,0.648,0.3523,0.6333,0.3667,0.8916,0.1082,0.7026,0.2974,0.2043,0.796,0.4456,0.5547,0.6655,0.3345
./uieb_dataset/raw-890/245_img_.png,0.842,0.1582,0.2422,0.758,0.535,0.4648,0.5156,0.4844,0.676,0.3242,0.3416,0.658,0.03622,0.964,0.3381,0.662,0.04147,0.9585,0.874,0.126,0.5273,0.4727,0.585,0.4148,0.9316,0.06854,0.85,0.15,0.535,0.4648,0.304,0.696,0.9272,0.07263
./uieb_dataset/raw-890/532_img_.png,0.02065,0.9795,0.2568,0.743,0.152,0.848,0.7217,0.2783,0.793,0.2069,0.0341,0.966,0.2751,0.725,0.2095,0.7905,0.3594,0.6406,0.746,0.254,0.331,0.669,0.7153,0.2847,0.4226,0.5776,0.504,0.496,0.12085,0.879,0.1603,0.84,0.899,0.1009
./uieb_dataset/raw-890/518_img_.png,0.4302,0.57,0.3174,0.6826,0.1968,0.803,0.858,0.1422,0.5815,0.4187,0.0237,0.976,0.1097,0.89,0.2018,0.7983,0.4072,0.593,0.906,0.094,0.0792,0.921,0.6826,0.3174,0.793,0.2069,0.4148,0.585,0.0619,0.938,0.803,0.1968,0.304,0.696
./uieb_dataset/raw-890/187_img_.png,0.1277,0.8726,0.2878,0.7124,0.4688,0.5312,0.8706,0.1294,0.63,0.37,0.3557,0.644,0.055,0.945,0.3667,0.6333,0.1871,0.813,0.655,0.3452,0.676,0.3242,0.7905,0.2095,0.9316,0.06854,0.8843,0.11597,0.1442,0.856,0.2751,0.725,0.95,0.0496
./uieb_dataset/raw-890/8010.png,0.1688,0.831,0.385,0.615,0.2974,0.7026,0.6,0.4,0.461,0.539,0.1067,0.893,0.2043,0.796,0.171,0.829,0.6724,0.3276,0.881,0.1192,0.04272,0.9575,0.9688,0.03114,0.7188,0.2815,0.637,0.363,0.5547,0.4456,0.04025,0.96,0.1277,0.8726
./uieb_dataset/raw-890/556_img_.png,0.04742,0.9526,0.3486,0.6514,0.6895,0.3108,0.4805,0.5195,0.171,0.829,0.2147,0.785,0.171,0.829,0.4766,0.5234,0.5815,0.4187,0.928,0.0716,0.626,0.3738,0.539,0.461,0.8823,0.11755,0.911,0.0888,0.2751,0.725,0.03067,0.969,0.808,0.1919
./uieb_dataset/raw-890/848_img_.png,0.008316,0.9917,0.1329,0.867,0.0542,0.946,0.2568,0.743,0.3452,0.655,0.1225,0.8774,0.0336,0.9663,0.3738,0.626,0.11755,0.8823,0.254,0.746,0.658,0.3416,0.929,0.07056,0.7744,0.2255,0.78,0.22,0.743,0.2568,0.224,0.776,0.9272,0.07263
./uieb_dataset/raw-890/2_img_.png,0.596,0.4036,0.263,0.7373,0.01744,0.9824,0.82,0.18,0.7124,0.2878,0.07697,0.923,0.08154,0.9185,0.2422,0.758,0.0792,0.921,0.8633,0.1366,0.6514,0.3486,0.953,0.04672,0.854,0.1461,0.585,0.4148,0.0695,0.9307,0.2281,0.772,0.7188,0.2815
./uieb_dataset/raw-890/486_img_.png,0.231,0.769,0.4883,0.5117,0.461,0.539,0.8687,0.1312,0.8916,0.1082,0.1348,0.865,0.1461,0.854,0.5312,0.4688,0.11127,0.8887,0.5195,0.4805,0.644,0.3557,0.5776,0.4226,0.8354,0.1646,0.63,0.37,0.2751,0.725,0.644,0.3557,0.766,0.2338
