,"['Accurate Color Representation', 'Blue/Green Color Cast']_1","['Accurate Color Representation', 'Blue/Green Color Cast']_2","['Backlit Subjects', 'Frontlit Subjects']_1","['Backlit Subjects', 'Frontlit Subjects']_2","['Soft Focus', 'Sharp Detail']_1","['Soft Focus', 'Sharp Detail']_2","['Wide Angle', 'Macro']_1","['Wide Angle', 'Macro']_2","['Underexposed', 'Overexposed']_1","['Underexposed', 'Overexposed']_2","['Shallow Depth of Field', 'Deep Depth of Field']_1","['Shallow Depth of Field', 'Deep Depth of Field']_2","['High ISO Noise', 'Low ISO Clarity']_1","['High ISO Noise', 'Low ISO Clarity']_2","['Filtered Light', 'Direct Light']_1","['Filtered Light', 'Direct Light']_2","['Dynamic Movement', 'Static Calm']_1","['Dynamic Movement', 'Static Calm']_2","['Clarity', 'Murkiness']_1","['Clarity', 'Murkiness']_2","['Textured Surfaces', 'Smooth Surfaces']_1","['Textured Surfaces', 'Smooth Surfaces']_2","['Top-Down View', 'Eye-Level View']_1","['Top-Down View', 'Eye-Level View']_2","['Natural Ambient Light', 'Artificial Light']_1","['Natural Ambient Light', 'Artificial Light']_2","['Unaltered Colors', 'Color Enhanced']_1","['Unaltered Colors', 'Color Enhanced']_2","['Organic Shapes', 'Geometric Structures']_1","['Organic Shapes', 'Geometric Structures']_2","['Silhouetted', 'Illuminated Subjects']_1","['Silhouetted', 'Illuminated Subjects']_2","['Foreground Interest', 'Background Dominance']_1","['Foreground Interest', 'Background Dominance']_2"
./uieb_dataset/reference-890/373_img_.png,0.0981,0.902,0.3557,0.644,0.07477,0.9253,0.9097,0.0901,0.813,0.1871,0.044,0.956,0.291,0.709,0.1294,0.8706,0.585,0.4148,0.8174,0.1824,0.1277,0.8726,0.535,0.4648,0.6514,0.3486,0.4534,0.547,0.212,0.788,0.6826,0.3174,0.831,0.1688
./uieb_dataset/reference-890/763_img_.png,0.011505,0.9883,0.3523,0.648,0.01302,0.987,0.6113,0.3887,0.9473,0.0526,0.314,0.686,0.1442,0.856,0.2422,0.758,0.11755,0.8823,0.1993,0.801,0.7637,0.2366,0.948,0.05185,0.385,0.615,0.4,0.6,0.5234,0.4766,0.3667,0.6333,0.973,0.02676
./uieb_dataset/reference-890/60_img_.png,0.02887,0.971,0.154,0.8457,0.2108,0.789,0.9175,0.0827,0.3684,0.632,0.08386,0.916,0.434,0.566,0.1871,0.813,0.2147,0.785,0.813,0.1871,0.3108,0.6895,0.662,0.3381,0.4417,0.558,0.679,0.3208,0.2295,0.7705,0.152,0.848,0.923,0.07697
./uieb_dataset/reference-890/67_img_.png,0.2598,0.74,0.07477,0.9253,0.003824,0.996,0.8354,0.1646,0.589,0.4111,0.154,0.8457,0.1993,0.801,0.3276,0.6724,0.1312,0.8687,0.867,0.1329,0.562,0.4377,0.8374,0.1624,0.8857,0.1144,0.637,0.363,0.0601,0.94,0.1294,0.8706,0.7124,0.2878
./uieb_dataset/reference-890/437_img_.png,0.06854,0.9316,0.3774,0.6226,0.055,0.945,0.725,0.2751,0.3452,0.655,0.1023,0.8975,0.3416,0.658,0.566,0.434,0.3108,0.6895,0.2598,0.74,0.585,0.4148,0.658,0.3416,0.746,0.254,0.6187,0.381,0.693,0.3074,0.385,0.615,0.9243,0.07587
./uieb_dataset/reference-890/642_img_.png,0.5815,0.4187,0.1404,0.86,0.2394,0.7607,0.7026,0.2974,0.6074,0.3923,0.1871,0.813,0.1422,0.858,0.508,0.4922,0.3738,0.626,0.57,0.4302,0.858,0.1422,0.85,0.15,0.8916,0.1082,0.5776,0.4226,0.2338,0.766,0.231,0.769,0.8335,0.1666
./uieb_dataset/reference-890/240_img_.png,0.8843,0.11597,0.5273,0.4727,0.1561,0.8438,0.558,0.4417,0.535,0.4648,0.1561,0.8438,0.2043,0.796,0.543,0.457,0.4226,0.5776,0.658,0.3416,0.2255,0.7744,0.785,0.2147,0.9194,0.0804,0.796,0.2043,0.434,0.566,0.461,0.539,0.6226,0.3774
./uieb_dataset/reference-890/316_img_.png,0.3923,0.6074,0.2018,0.7983,0.3276,0.6724,0.955,0.04468,0.2366,0.7637,0.02298,0.977,0.3416,0.658,0.808,0.1919,0.08154,0.9185,0.958,0.04208,0.626,0.3738,0.3242,0.676,0.8613,0.1384,0.4456,0.5547,0.2018,0.7983,0.566,0.434,0.86,0.1404
./uieb_dataset/reference-890/199_img_.png,0.1312,0.8687,0.251,0.749,0.566,0.434,0.9316,0.06854,0.766,0.2338,0.1442,0.856,0.044,0.956,0.7124,0.2878,0.0888,0.911,0.9336,0.0666,0.7827,0.2173,0.3208,0.679,0.902,0.0981,0.734,0.2659,0.1561,0.8438,0.2878,0.7124,0.9663,0.0336
./uieb_dataset/reference-890/622_img_.png,0.254,0.746,0.4036,0.596,0.3381,0.662,0.4688,0.5312,0.4417,0.558,0.1824,0.8174,0.05664,0.9434,0.4148,0.585,0.7188,0.2815,0.963,0.03732,0.4,0.6,0.7983,0.2018,0.9316,0.06854,0.686,0.314,0.4534,0.547,0.4922,0.508,0.6226,0.3774
