image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects
0.jpg,,,0.2173,0.7827,0.728,0.272,0.3667,0.6333,0.9126,0.0876,0.0237,0.976
1.jpg,,,0.03964,0.9604,0.03568,0.9644,0.1603,0.84,0.593,0.4072,0.152,0.848
2.jpg,,,0.5273,0.4727,0.0346,0.9653,0.07367,0.9263,0.856,0.1442,0.3523,0.648
3.jpg,,,0.152,0.848,0.4,0.6,0.535,0.4648,0.992,0.007935,0.0981,0.902
4.jpg,,,0.03308,0.967,0.8223,0.1779,0.977,0.02298,0.9927,0.007233,0.03235,0.968
5.jpg,,,0.508,0.4922,0.2422,0.758,0.4727,0.5273,0.9697,0.03021,0.5156,0.4844
6.jpg,,,0.4377,0.562,0.07587,0.9243,0.2942,0.7056,0.963,0.03732,0.4456,0.5547
7.jpg,,,0.793,0.2069,0.6,0.4,0.772,0.2281,0.9497,0.05032,0.457,0.543
8.jpg,,,0.658,0.3416,0.8223,0.1779,0.9253,0.07477,0.953,0.04672,0.314,0.686
9.jpg,,,0.5,0.5,0.7773,0.2227,0.921,0.0792,0.961,0.03906,0.1968,0.803
10.jpg,,,0.796,0.2043,0.881,0.1192,0.938,0.0619,0.962,0.0379,0.3667,0.6333
11.jpg,,,0.842,0.1582,0.831,0.1688,0.9824,0.01744,0.9937,0.006588,0.094,0.906
12.jpg,,,0.8633,0.1366,0.82,0.18,0.966,0.0341,0.9736,0.02635,0.1968,0.803
13.jpg,,,0.887,0.1128,0.8726,0.1277,0.972,0.02802,0.9487,0.0511,0.5,0.5
14.jpg,,,0.2783,0.7217,0.5234,0.4766,0.63,0.37,0.97,0.02975,0.02097,0.979
15.jpg,,,0.8105,0.1896,0.793,0.2069,0.9653,0.0346,0.961,0.03906,0.314,0.686
