image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects
0.jpg,,,0.11597,0.8843,0.788,0.212,0.699,0.3008,0.96,0.04025,0.0164,0.9834
1.jpg,,,0.03308,0.967,0.1348,0.865,0.1733,0.8267,0.5776,0.4226,0.15,0.85
2.jpg,,,0.08386,0.916,0.11597,0.8843,0.2227,0.7773,0.686,0.314,0.0927,0.907
3.jpg,,,0.04742,0.9526,0.5156,0.4844,0.766,0.2338,0.9717,0.02844,0.1755,0.824
4.jpg,,,0.396,0.604,0.9756,0.02443,0.9795,0.02065,0.982,0.01826,0.5815,0.4187
5.jpg,,,0.4534,0.547,0.248,0.752,0.3345,0.6655,0.96,0.04025,0.7373,0.263
6.jpg,,,0.1733,0.8267,0.1779,0.8223,0.4456,0.5547,0.986,0.01428,0.6406,0.3594
7.jpg,,,0.4534,0.547,0.788,0.212,0.7827,0.2173,0.867,0.1329,0.5,0.5
8.jpg,,,0.461,0.539,0.8706,0.1294,0.929,0.07056,0.9316,0.06854,0.4111,0.589
9.jpg,,,0.304,0.696,0.8706,0.1294,0.902,0.0981,0.938,0.0619,0.2878,0.7124
10.jpg,,,0.3242,0.676,0.895,0.1052,0.8965,0.10376,0.9097,0.0901,0.7026,0.2974
11.jpg,,,0.3242,0.676,0.887,0.1128,0.983,0.01718,0.9785,0.02162,0.22,0.78
12.jpg,,,0.1582,0.842,0.84,0.1603,0.982,0.01799,0.9844,0.01543,0.12085,0.879
13.jpg,,,0.3345,0.6655,0.842,0.1582,0.9307,0.0695,0.8975,0.1023,0.57,0.4302
14.jpg,,,0.0619,0.938,0.3276,0.6724,0.7026,0.2974,0.9727,0.02718,0.0827,0.9175
15.jpg,,,0.2338,0.766,0.865,0.1348,0.9443,0.05582,0.928,0.0716,0.562,0.4377
16.jpg,,,0.08386,0.916,0.679,0.3208,0.785,0.2147,0.964,0.03622,0.4922,0.508
17.jpg,,,0.4648,0.535,0.89,0.1097,0.9263,0.07367,0.887,0.1128,0.6406,0.3594
18.jpg,,,0.6655,0.3345,0.86,0.1404,0.9126,0.0876,0.8105,0.1896,0.5547,0.4456
19.jpg,,,0.543,0.457,0.8774,0.1225,0.9185,0.08154,0.842,0.1582,0.696,0.304
20.jpg,,,0.3008,0.699,0.0656,0.9346,0.1688,0.831,0.7744,0.2255,0.8965,0.10376
21.jpg,,,0.558,0.4417,0.0534,0.947,0.2659,0.734,0.9272,0.07263,0.6406,0.3594
22.jpg,,,0.4377,0.562,0.08154,0.9185,0.248,0.752,0.856,0.1442,0.3276,0.6724
23.jpg,,,0.3738,0.626,0.2815,0.7188,0.4844,0.5156,0.731,0.269,0.7607,0.2394
24.jpg,,,0.2783,0.7217,0.1225,0.8774,0.1848,0.8154,0.7905,0.2095,0.3381,0.662
25.jpg,,,0.07697,0.923,0.5776,0.4226,0.848,0.152,0.9473,0.0526,0.1422,0.858
26.jpg,,,0.1943,0.8057,0.1481,0.852,0.1943,0.8057,0.7905,0.2095,0.4111,0.589
27.jpg,,,0.3208,0.679,0.07056,0.929,0.1968,0.803,0.9243,0.07587,0.2069,0.793
28.jpg,,,0.1192,0.881,0.9307,0.0695,0.9565,0.04337,0.9644,0.03568,0.5234,0.4766
29.jpg,,,0.4,0.6,0.3557,0.644,0.3452,0.655,0.801,0.1993,0.585,0.4148
30.jpg,,,0.4377,0.562,0.1871,0.813,0.5195,0.4805,0.9585,0.04147,0.0882,0.9116
31.jpg,,,0.3667,0.6333,0.1688,0.831,0.3594,0.6406,0.865,0.1348,0.314,0.686
32.jpg,,,0.6895,0.3108,0.4,0.6,0.7124,0.2878,0.842,0.1582,0.2422,0.758
33.jpg,,,0.1919,0.808,0.1824,0.8174,0.4883,0.5117,0.8105,0.1896,0.3416,0.658
34.jpg,,,0.2451,0.755,0.2173,0.7827,0.4187,0.5815,0.8823,0.11755,0.1052,0.895
35.jpg,,,0.06757,0.9326,0.1348,0.865,0.4377,0.562,0.942,0.05835,0.0511,0.9487
36.jpg,,,0.05582,0.9443,0.3381,0.662,0.796,0.2043,0.9126,0.0876,0.171,0.829
37.jpg,,,0.0863,0.9136,0.1896,0.8105,0.551,0.4495,0.874,0.126,0.1242,0.876
38.jpg,,,0.07806,0.922,0.2069,0.793,0.269,0.731,0.842,0.1582,0.1461,0.854
39.jpg,,,0.0592,0.941,0.3074,0.693,0.4,0.6,0.939,0.06097,0.1144,0.8857
40.jpg,,,0.06464,0.9355,0.9575,0.04272,0.968,0.0321,0.9355,0.06464,0.693,0.3074
41.jpg,,,0.04813,0.9517,0.4111,0.589,0.6113,0.3887,0.946,0.0542,0.04083,0.959
42.jpg,,,0.12085,0.879,0.2878,0.7124,0.4377,0.562,0.86,0.1404,0.0716,0.928
43.jpg,,,0.3108,0.6895,0.4766,0.5234,0.539,0.461,0.876,0.1242,0.1603,0.84
44.jpg,,,0.1733,0.8267,0.3557,0.644,0.6655,0.3345,0.89,0.1097,0.04083,0.959
45.jpg,,,0.1896,0.8105,0.381,0.6187,0.4302,0.57,0.842,0.1582,0.07587,0.9243
46.jpg,,,0.2568,0.743,0.543,0.457,0.4534,0.547,0.8965,0.10376,0.152,0.848
47.jpg,,,0.1561,0.8438,0.2281,0.772,0.231,0.769,0.8354,0.1646,0.01099,0.989
48.jpg,,,0.304,0.696,0.385,0.615,0.3108,0.6895,0.9185,0.08154,0.152,0.848
49.jpg,,,0.251,0.749,0.2366,0.7637,0.3242,0.676,0.881,0.1192,0.1009,0.899
50.jpg,,,0.0666,0.9336,0.2659,0.734,0.5195,0.4805,0.852,0.1481,0.07056,0.929
51.jpg,,,0.0496,0.95,0.5234,0.4766,0.7607,0.2394,0.9565,0.04337,0.0379,0.962
52.jpg,,,0.248,0.752,0.8633,0.1366,0.9575,0.04272,0.921,0.0792,0.4072,0.593
53.jpg,,,0.0511,0.9487,0.2281,0.772,0.558,0.4417,0.865,0.1348,0.094,0.906
54.jpg,,,0.2069,0.793,0.6074,0.3923,0.699,0.3008,0.9185,0.08154,0.2942,0.7056
