image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects
0.jpg,17.781789779663086,0.6804652810096741,0.6655,0.3345,0.785,0.2147,0.07477,0.9253,0.971,0.02887,0.3381,0.662
1.jpg,15.961978912353516,0.867337167263031,0.669,0.331,0.585,0.4148,0.731,0.269,0.7744,0.2255,0.2942,0.7056
2.jpg,17.094575881958008,0.8791064023971558,0.749,0.251,0.461,0.539,0.4,0.6,0.948,0.05185,0.126,0.874
3.jpg,21.63011932373047,0.8735519647598267,0.6514,0.3486,0.434,0.566,0.5547,0.4456,0.984,0.01616,0.231,0.769
4.jpg,20.915851593017578,0.8887122869491577,0.4263,0.5737,0.945,0.055,0.975,0.0248,0.991,0.00871,0.126,0.874
5.jpg,19.980653762817383,0.8621149063110352,0.983,0.01692,0.6,0.4,0.4495,0.551,0.976,0.0237,0.7983,0.2018
6.jpg,20.260637283325195,0.8616070747375488,0.9697,0.03021,0.558,0.4417,0.558,0.4417,0.9897,0.01017,0.655,0.3452
7.jpg,18.160337448120117,0.8512343168258667,0.9766,0.02333,0.9775,0.0223,0.9434,0.05664,0.9883,0.01169,0.615,0.385
8.jpg,18.42765235900879,0.8634306788444519,0.964,0.03622,0.969,0.03067,0.948,0.05185,0.9834,0.0164,0.662,0.3381
9.jpg,18.867515563964844,0.8641934990882874,0.964,0.03622,0.961,0.03906,0.929,0.07056,0.9956,0.00461,0.585,0.4148
10.jpg,19.201536178588867,0.8684894442558289,0.9243,0.07587,0.954,0.04602,0.9316,0.06854,0.991,0.00885,0.8174,0.1824
11.jpg,19.130107879638672,0.8548421263694763,0.9307,0.0695,0.9336,0.0666,0.852,0.1481,0.982,0.01826,0.7124,0.2878
12.jpg,19.230941772460938,0.8662944436073303,0.9746,0.02518,0.9517,0.04813,0.939,0.06097,0.9956,0.0044,0.669,0.331
13.jpg,19.078683853149414,0.8562748432159424,0.981,0.01912,0.9927,0.007122,0.982,0.01826,0.9946,0.00514,0.669,0.331
14.jpg,21.537273406982422,0.8737621307373047,0.801,0.1993,0.5156,0.4844,0.434,0.566,0.959,0.04083,0.2659,0.734
15.jpg,19.106346130371094,0.8602770566940308,0.955,0.04468,0.9834,0.01666,0.9688,0.03114,0.9897,0.01033,0.535,0.4648
16.jpg,19.21426773071289,0.845074474811554,0.8843,0.11597,0.9424,0.0575,0.964,0.03622,0.9824,0.01744,0.1943,0.8057
17.jpg,18.87544822692871,0.8498234152793884,0.973,0.02676,0.992,0.007576,0.9883,0.01169,0.996,0.003944,0.4648,0.535
18.jpg,18.816537857055664,0.8527050614356995,0.9575,0.04272,0.9873,0.012825,0.974,0.02596,0.9937,0.00619,0.593,0.4072
19.jpg,19.181432723999023,0.8644607067108154,0.9136,0.0863,0.9644,0.03568,0.955,0.04468,0.9834,0.01666,0.543,0.457
20.jpg,17.367340087890625,0.8718917369842529,0.8267,0.1733,0.291,0.709,0.637,0.363,0.9673,0.0326,0.6514,0.3486
21.jpg,17.881372451782227,0.8656355142593384,0.906,0.094,0.4534,0.547,0.6074,0.3923,0.9272,0.07263,0.5117,0.4883
22.jpg,19.386028289794922,0.8644021153450012,0.8267,0.1733,0.0995,0.9004,0.4377,0.562,0.893,0.1067,0.381,0.6187
23.jpg,19.57807731628418,0.8595214486122131,0.1993,0.801,0.3276,0.6724,0.637,0.363,0.963,0.03732,0.4534,0.547
24.jpg,18.554645538330078,0.8422488570213318,0.907,0.0927,0.4226,0.5776,0.508,0.4922,0.9316,0.06854,0.3208,0.679
25.jpg,21.530546188354492,0.8778274655342102,0.766,0.2338,0.808,0.1919,0.942,0.05835,0.99,0.00956,0.044,0.956
26.jpg,17.801734924316406,0.840305745601654,0.921,0.0792,0.2878,0.7124,0.6655,0.3345,0.803,0.1968,0.3887,0.6113
27.jpg,17.372770309448242,0.8545090556144714,0.929,0.07056,0.396,0.604,0.749,0.251,0.9473,0.0526,0.4263,0.5737
28.jpg,18.843406677246094,0.8347311019897461,0.7773,0.2227,0.962,0.0379,0.956,0.044,0.995,0.00468,0.2255,0.7744
29.jpg,17.70282745361328,0.8627727627754211,0.9136,0.0863,0.2942,0.7056,0.5737,0.4263,0.874,0.126,0.331,0.669
30.jpg,17.769216537475586,0.8746476173400879,0.8975,0.1023,0.539,0.461,0.8335,0.1666,0.983,0.01692,0.18,0.82
31.jpg,17.227266311645508,0.8654376268386841,0.97,0.02975,0.251,0.749,0.6187,0.381,0.788,0.212,0.4148,0.585
32.jpg,17.745624542236328,0.8536512851715088,0.9785,0.02162,0.3174,0.6826,0.728,0.272,0.7217,0.2783,0.269,0.731
33.jpg,17.69779396057129,0.8460150361061096,0.9263,0.07367,0.314,0.686,0.8154,0.1848,0.8438,0.1561,0.1993,0.801
34.jpg,17.95598793029785,0.8413922786712646,0.813,0.1871,0.4,0.6,0.8057,0.1943,0.983,0.01718,0.1128,0.887
35.jpg,19.358163833618164,0.828214704990387,0.4766,0.5234,0.434,0.566,0.693,0.3074,0.9326,0.06757,0.1067,0.893
36.jpg,21.677120208740234,0.8924427628517151,0.8105,0.1896,0.85,0.15,0.725,0.2751,0.9487,0.0511,0.385,0.615
37.jpg,18.365198135375977,0.8245583772659302,0.593,0.4072,0.854,0.1461,0.4417,0.558,0.928,0.0716,0.1097,0.89
38.jpg,18.33004379272461,0.8048257827758789,0.7217,0.2783,0.6074,0.3923,0.4302,0.57,0.865,0.1348,0.2043,0.796
39.jpg,18.245513916015625,0.8032755255699158,0.758,0.2422,0.6655,0.3345,0.743,0.2568,0.9546,0.04535,0.0995,0.9004
40.jpg,19.62782096862793,0.8379310369491577,0.796,0.2043,0.7056,0.2942,0.7637,0.2366,0.956,0.044,0.291,0.709
41.jpg,18.181650161743164,0.7939784526824951,0.867,0.1329,0.7373,0.263,0.3345,0.6655,0.8438,0.1561,0.3074,0.693
42.jpg,17.712047576904297,0.7900968790054321,0.911,0.0888,0.6226,0.3774,0.4688,0.5312,0.644,0.3557,0.1009,0.899
43.jpg,17.514366149902344,0.7808403968811035,0.693,0.3074,0.585,0.4148,0.755,0.2451,0.9326,0.06757,0.03067,0.969
44.jpg,17.732511520385742,0.7801358699798584,0.967,0.03308,0.539,0.461,0.4883,0.5117,0.6187,0.381,0.02887,0.971
45.jpg,17.82589340209961,0.7982840538024902,0.829,0.171,0.7026,0.2974,0.539,0.461,0.82,0.18,0.09534,0.905
46.jpg,18.012859344482422,0.8212816715240479,0.902,0.0981,0.615,0.385,0.3523,0.648,0.772,0.2281,0.3557,0.644
47.jpg,17.111854553222656,0.7048413157463074,0.5815,0.4187,0.796,0.2043,0.0336,0.9663,0.947,0.0534,0.0716,0.928
48.jpg,17.507251739501953,0.7956568598747253,0.535,0.4648,0.5776,0.4226,0.8223,0.1779,0.95,0.0496,0.02802,0.972
49.jpg,18.326223373413086,0.7984753251075745,0.752,0.248,0.589,0.4111,0.82,0.18,0.766,0.2338,0.055,0.945
50.jpg,18.402599334716797,0.7753692269325256,0.4111,0.589,0.4844,0.5156,0.9443,0.05582,0.974,0.02596,0.0792,0.921
51.jpg,18.604650497436523,0.7781076431274414,0.461,0.539,0.566,0.434,0.842,0.1582,0.9727,0.02759,0.04602,0.954
52.jpg,19.603654861450195,0.8565633296966553,0.9355,0.06464,0.803,0.1968,0.831,0.1688,0.988,0.01224,0.3276,0.6724
53.jpg,17.772655487060547,0.735643208026886,0.171,0.829,0.696,0.304,0.9253,0.07477,0.9326,0.06757,0.02443,0.9756
54.jpg,19.52145767211914,0.8557395935058594,0.874,0.126,0.4766,0.5234,0.679,0.3208,0.965,0.03516,0.2069,0.793
55.jpg,19.55984115600586,0.8568283319473267,0.7773,0.2227,0.4072,0.593,0.37,0.63,0.907,0.0927,0.331,0.669
56.jpg,19.52863121032715,0.8502944111824036,0.813,0.1871,0.3242,0.676,0.4263,0.5737,0.9565,0.04337,0.0863,0.9136
57.jpg,19.50109100341797,0.8467726707458496,0.676,0.3242,0.3486,0.6514,0.709,0.291,0.9893,0.01065,0.0534,0.947
