image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects
0.jpg,17.62870216369629,0.6770879626274109,0.562,0.4377,0.7905,0.2095,0.0863,0.9136,0.9785,0.02129,0.304,0.696
1.jpg,16.47379493713379,0.8756046891212463,0.709,0.291,0.637,0.363,0.758,0.2422,0.7773,0.2227,0.37,0.63
2.jpg,16.357009887695312,0.8760877847671509,0.7827,0.2173,0.4495,0.551,0.3738,0.626,0.959,0.04083,0.1384,0.8613
3.jpg,21.38956069946289,0.8720805048942566,0.6406,0.3594,0.3523,0.648,0.5273,0.4727,0.9883,0.01187,0.2422,0.758
4.jpg,21.203975677490234,0.8912776112556458,0.4377,0.562,0.9185,0.08154,0.9775,0.02263,0.9897,0.01033,0.1082,0.8916
5.jpg,19.88179588317871,0.8648883104324341,0.9775,0.0223,0.496,0.504,0.4187,0.5815,0.9746,0.02556,0.813,0.1871
6.jpg,20.145841598510742,0.8649110198020935,0.9614,0.03845,0.508,0.4922,0.5776,0.4226,0.988,0.012054,0.749,0.251
7.jpg,18.385665893554688,0.8542777895927429,0.978,0.02194,0.968,0.0321,0.916,0.08386,0.9897,0.01033,0.644,0.3557
8.jpg,18.656766891479492,0.8661009073257446,0.966,0.0341,0.964,0.03622,0.945,0.055,0.983,0.01692,0.644,0.3557
9.jpg,19.087064743041992,0.8668471574783325,0.971,0.02887,0.971,0.02887,0.9487,0.0511,0.996,0.003708,0.6187,0.381
10.jpg,19.328575134277344,0.8702065348625183,0.9346,0.0656,0.9497,0.05032,0.915,0.0851,0.991,0.008575,0.785,0.2147
11.jpg,19.215145111083984,0.8575843572616577,0.9126,0.0876,0.9346,0.0656,0.858,0.1422,0.9785,0.02162,0.743,0.2568
12.jpg,19.313671112060547,0.8677383065223694,0.9727,0.02759,0.95,0.0496,0.9424,0.0575,0.9946,0.00522,0.7153,0.2847
13.jpg,19.2176570892334,0.8584150075912476,0.9824,0.01772,0.994,0.006004,0.984,0.0159,0.995,0.00483,0.662,0.3381
14.jpg,21.28961753845215,0.8716808557510376,0.793,0.2069,0.547,0.4534,0.4072,0.593,0.9653,0.0346,0.3008,0.699
15.jpg,19.233444213867188,0.8616130352020264,0.967,0.03308,0.9814,0.01854,0.961,0.03906,0.988,0.01224,0.5117,0.4883
16.jpg,19.332382202148438,0.8481014966964722,0.899,0.1009,0.942,0.05835,0.9653,0.0346,0.979,0.02097,0.2366,0.7637
17.jpg,19.011686325073242,0.8519665002822876,0.972,0.02802,0.991,0.00871,0.9883,0.01187,0.9966,0.003593,0.4648,0.535
18.jpg,18.96010398864746,0.854862630367279,0.9585,0.04147,0.988,0.01224,0.975,0.0248,0.993,0.00701,0.562,0.4377
19.jpg,19.351274490356445,0.8668572306632996,0.911,0.0888,0.9604,0.03964,0.9497,0.05032,0.983,0.01692,0.5234,0.4766
20.jpg,17.318523406982422,0.873671293258667,0.8633,0.1366,0.2451,0.755,0.6187,0.381,0.9717,0.02844,0.648,0.3523
21.jpg,17.795326232910156,0.8668100833892822,0.881,0.1192,0.4148,0.585,0.539,0.461,0.9434,0.05664,0.539,0.461
22.jpg,19.298583984375,0.8659157156944275,0.874,0.126,0.1023,0.8975,0.4302,0.57,0.9175,0.0827,0.3293,0.6704
23.jpg,19.49895477294922,0.8608284592628479,0.2227,0.7773,0.3381,0.662,0.604,0.396,0.9683,0.03162,0.4883,0.5117
24.jpg,18.462570190429688,0.8437542915344238,0.9136,0.0863,0.4,0.6,0.396,0.604,0.9263,0.07367,0.381,0.6187
25.jpg,21.268171310424805,0.8755583763122559,0.803,0.1968,0.7188,0.2815,0.9185,0.08154,0.99,0.00956,0.04337,0.9565
26.jpg,17.7335205078125,0.8416362404823303,0.928,0.0716,0.2815,0.7188,0.6514,0.3486,0.8335,0.1666,0.3416,0.658
27.jpg,17.30686378479004,0.8556613922119141,0.94,0.0601,0.3557,0.644,0.696,0.304,0.942,0.05835,0.4,0.6
28.jpg,18.936798095703125,0.8384454250335693,0.848,0.152,0.946,0.0542,0.94,0.0601,0.9937,0.00629,0.254,0.746
29.jpg,17.644861221313477,0.8646827340126038,0.915,0.0851,0.269,0.731,0.596,0.4036,0.8823,0.11755,0.3074,0.693
30.jpg,17.69053077697754,0.8761990070343018,0.887,0.1128,0.4688,0.5312,0.785,0.2147,0.981,0.01912,0.2227,0.7773
31.jpg,17.15397071838379,0.8666139841079712,0.974,0.02596,0.1848,0.8154,0.585,0.4148,0.8154,0.1848,0.461,0.539
32.jpg,17.674068450927734,0.8551642894744873,0.976,0.02405,0.2281,0.772,0.699,0.3008,0.749,0.251,0.251,0.749
33.jpg,17.640169143676758,0.8472443222999573,0.9326,0.06757,0.3008,0.699,0.788,0.212,0.8843,0.11597,0.2069,0.793
34.jpg,17.907861709594727,0.8424257636070251,0.86,0.1404,0.4417,0.558,0.8374,0.1624,0.987,0.01302,0.0995,0.9004
35.jpg,19.514144897460938,0.83333420753479,0.593,0.4072,0.543,0.457,0.644,0.3557,0.9253,0.07477,0.11597,0.8843
36.jpg,21.425060272216797,0.8903969526290894,0.831,0.1688,0.801,0.1993,0.6514,0.3486,0.9565,0.04337,0.4072,0.593
37.jpg,18.582399368286133,0.8258438110351562,0.6826,0.3174,0.8774,0.1225,0.4883,0.5117,0.94,0.0601,0.1082,0.8916
38.jpg,18.51860809326172,0.8081072568893433,0.755,0.2451,0.6406,0.3594,0.4377,0.562,0.8857,0.1144,0.1919,0.808
39.jpg,18.41084098815918,0.8058767914772034,0.743,0.2568,0.7188,0.2815,0.785,0.2147,0.959,0.04083,0.1009,0.899
40.jpg,19.70424461364746,0.8412218689918518,0.8335,0.1666,0.6724,0.3276,0.7744,0.2255,0.965,0.03516,0.2659,0.734
41.jpg,18.32155990600586,0.7958599925041199,0.86,0.1404,0.858,0.1422,0.3594,0.6406,0.854,0.1461,0.4377,0.562
42.jpg,17.854766845703125,0.7918708920478821,0.916,0.08386,0.725,0.2751,0.551,0.4495,0.709,0.291,0.1052,0.895
43.jpg,17.626432418823242,0.7815731167793274,0.5312,0.4688,0.7056,0.2942,0.8154,0.1848,0.946,0.0542,0.02333,0.9766
44.jpg,17.806638717651367,0.7803072929382324,0.9697,0.03021,0.5273,0.4727,0.5234,0.4766,0.662,0.3381,0.02802,0.972
45.jpg,17.913436889648438,0.7988190650939941,0.7607,0.2394,0.648,0.3523,0.5273,0.4727,0.842,0.1582,0.0827,0.9175
46.jpg,18.093507766723633,0.8210233449935913,0.895,0.1052,0.6514,0.3486,0.3008,0.699,0.78,0.22,0.4302,0.57
47.jpg,16.952619552612305,0.7021483778953552,0.535,0.4648,0.734,0.2659,0.02759,0.9727,0.9497,0.05032,0.0542,0.946
48.jpg,17.577545166015625,0.797920823097229,0.535,0.4648,0.6074,0.3923,0.796,0.2043,0.9575,0.04272,0.04147,0.9585
49.jpg,18.33209991455078,0.8007959127426147,0.7217,0.2783,0.5,0.5,0.803,0.1968,0.788,0.212,0.0592,0.941
50.jpg,18.446651458740234,0.7770082950592041,0.3887,0.6113,0.543,0.457,0.9487,0.0511,0.984,0.0159,0.07367,0.9263
51.jpg,18.621671676635742,0.7768306732177734,0.5,0.5,0.63,0.37,0.879,0.12085,0.978,0.02194,0.0534,0.947
52.jpg,19.64077377319336,0.8590514063835144,0.929,0.07056,0.7124,0.2878,0.803,0.1968,0.9844,0.01567,0.314,0.686
53.jpg,17.745391845703125,0.7368431687355042,0.1646,0.8354,0.746,0.254,0.9365,0.0637,0.9424,0.0575,0.02298,0.977
54.jpg,19.42290496826172,0.8541833162307739,0.831,0.1688,0.3452,0.655,0.5737,0.4263,0.969,0.03067,0.1582,0.842
55.jpg,19.445253372192383,0.8552739024162292,0.7905,0.2095,0.3557,0.644,0.3486,0.6514,0.94,0.0601,0.3074,0.693
56.jpg,19.416643142700195,0.8488644361495972,0.785,0.2147,0.22,0.78,0.363,0.637,0.9644,0.03568,0.0666,0.9336
57.jpg,19.375839233398438,0.8453938364982605,0.644,0.3557,0.2942,0.7056,0.5776,0.4226,0.9917,0.008446,0.0695,0.9307
58.jpg,21.461767196655273,0.8782188296318054,0.734,0.2659,0.7373,0.263,0.848,0.152,0.9883,0.01187,0.1442,0.856
59.jpg,19.307388305664062,0.8537390828132629,0.813,0.1871,0.769,0.231,0.854,0.1461,0.994,0.00573,0.055,0.945
60.jpg,19.076784133911133,0.8493929505348206,0.8335,0.1666,0.637,0.363,0.5195,0.4805,0.9644,0.03568,0.2451,0.755
61.jpg,18.86113929748535,0.8317710161209106,0.551,0.4495,0.4805,0.5195,0.562,0.4377,0.982,0.01799,0.03568,0.9644
62.jpg,19.04155921936035,0.8332310914993286,0.4883,0.5117,0.3276,0.6724,0.74,0.2598,0.9634,0.03677,0.0804,0.9194
63.jpg,19.09433937072754,0.8288096189498901,0.7905,0.2095,0.655,0.3452,0.842,0.1582,0.998,0.00215,0.01049,0.9897
