image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Accurate and Natural Color Representation,"Inaccurate, Artifact and uncomfortable Color Cast","Harmonious, Suitable, and Aesthetically Pleasing Color Representation","Distorted, Unfitting, and Visually Displeasing Color Cast",Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects,Richly detailed, Blurry and indistinct,Sharp Aquatic Details,Blurred Movement,Natural Ambient Light,Artificial Light
0.jpg,21.683713912963867,0.7926737666130066,0.2281,0.772,0.8613,0.1384,0.2974,0.7026,0.743,0.2568,0.585,0.4148,0.981,0.01912,0.04602,0.954,0.18,0.82,0.9956,0.004265,0.906,0.094
1.jpg,20.487260818481445,0.9619513154029846,0.2974,0.7026,0.9087,0.0914,0.831,0.1688,0.0876,0.9126,0.3381,0.662,0.7773,0.2227,0.2043,0.796,0.251,0.749,0.8613,0.1384,0.758,0.2422
2.jpg,16.04174041748047,0.9062488079071045,0.57,0.4302,0.9805,0.01971,0.8613,0.1384,0.1666,0.8335,0.2598,0.74,0.9663,0.0336,0.3923,0.6074,0.1082,0.8916,0.593,0.4072,0.615,0.385
3.jpg,28.30731964111328,0.9631604552268982,0.126,0.874,0.929,0.07056,0.686,0.314,0.4922,0.508,0.749,0.251,0.9946,0.00547,0.1348,0.865,0.4456,0.5547,0.9565,0.04337,0.938,0.0619
4.jpg,30.829492568969727,0.9763361811637878,0.04208,0.958,0.796,0.2043,0.3452,0.655,0.9033,0.0967,0.9824,0.01772,0.9956,0.00461,0.05582,0.9443,0.3381,0.662,0.8223,0.1779,0.6187,0.381
5.jpg,28.868736267089844,0.9669291377067566,0.508,0.4922,0.9844,0.01543,0.7124,0.2878,0.2043,0.796,0.4766,0.5234,0.973,0.02676,0.5273,0.4727,0.504,0.496,0.911,0.0888,0.78,0.22
6.jpg,29.128414154052734,0.9709166884422302,0.3774,0.6226,0.8823,0.11755,0.547,0.4534,0.07056,0.929,0.3074,0.693,0.977,0.02298,0.4302,0.57,0.626,0.3738,0.958,0.04208,0.752,0.248
7.jpg,21.533767700195312,0.9519807696342468,0.585,0.4148,0.9565,0.04337,0.648,0.3523,0.8267,0.1733,0.874,0.126,0.9614,0.03845,0.4883,0.5117,0.5117,0.4883,0.9473,0.0526,0.865,0.1348
8.jpg,22.479400634765625,0.9618350267410278,0.539,0.461,0.963,0.03732,0.6655,0.3345,0.84,0.1603,0.9272,0.07263,0.9688,0.03114,0.314,0.686,0.3523,0.648,0.923,0.07697,0.8975,0.1023
9.jpg,23.755788803100586,0.9682618975639343,0.4263,0.5737,0.961,0.03906,0.593,0.4072,0.867,0.1329,0.942,0.05835,0.9746,0.02518,0.3242,0.676,0.5117,0.4883,0.848,0.152,0.813,0.1871
