image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Accurate and Natural Color Representation,"Inaccurate, Artifact and uncomfortable Color Cast","Harmonious, Suitable, and Aesthetically Pleasing Color Representation","Distorted, Unfitting, and Visually Displeasing Color Cast",Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects,Richly detailed, Blurry and indistinct,Sharp Aquatic Details,Blurred Movement,Natural Ambient Light,Artificial Light
0.jpg,20.160940170288086,0.7476360201835632,0.6406,0.3594,0.604,0.396,0.154,0.8457,0.7056,0.2942,0.0496,0.95,0.982,0.01826,0.1919,0.808,0.2018,0.7983,0.978,0.02194,0.9175,0.0827
1.jpg,17.428171157836914,0.942097544670105,0.496,0.504,0.852,0.1481,0.8687,0.1312,0.05582,0.9443,0.2815,0.7188,0.796,0.2043,0.1896,0.8105,0.457,0.543,0.8916,0.1082,0.796,0.2043
2.jpg,15.964764595031738,0.9101293087005615,0.679,0.3208,0.961,0.03906,0.82,0.18,0.0927,0.907,0.15,0.85,0.852,0.1481,0.2451,0.755,0.0888,0.911,0.6187,0.381,0.796,0.2043
3.jpg,23.961029052734375,0.9236935973167419,0.1968,0.803,0.842,0.1582,0.4302,0.57,0.1481,0.852,0.3108,0.6895,0.987,0.01322,0.1192,0.881,0.2847,0.7153,0.9937,0.00629,0.9326,0.06757
4.jpg,24.911252975463867,0.9540621638298035,0.3242,0.676,0.725,0.2751,0.1329,0.867,0.07056,0.929,0.604,0.396,0.9897,0.01017,0.1624,0.8374,0.1824,0.8174,0.8726,0.1277,0.74,0.2598
5.jpg,23.97344398498535,0.9357905387878418,0.7637,0.2366,0.86,0.1404,0.3074,0.693,0.02263,0.9775,0.0526,0.9473,0.9683,0.03162,0.4844,0.5156,0.1404,0.86,0.89,0.1097,0.8774,0.1225
6.jpg,24.063962936401367,0.9388762712478638,0.589,0.4111,0.686,0.314,0.3345,0.6655,0.01692,0.983,0.07056,0.929,0.9634,0.03677,0.3276,0.6724,0.2255,0.7744,0.968,0.0321,0.824,0.1755
7.jpg,23.425128936767578,0.9508429765701294,0.8706,0.1294,0.9497,0.05032,0.5195,0.4805,0.6226,0.3774,0.743,0.2568,0.979,0.02097,0.363,0.637,0.3276,0.6724,0.977,0.02298,0.9004,0.0995
8.jpg,23.694318771362305,0.9614109992980957,0.813,0.1871,0.9688,0.03114,0.6226,0.3774,0.766,0.2338,0.829,0.171,0.978,0.02194,0.263,0.7373,0.272,0.728,0.958,0.04208,0.902,0.0981
9.jpg,23.96441078186035,0.9621634483337402,0.8975,0.1023,0.947,0.0534,0.4688,0.5312,0.679,0.3208,0.7026,0.2974,0.984,0.01616,0.2644,0.736,0.3523,0.648,0.9194,0.0804,0.86,0.1404
10.jpg,23.91443634033203,0.9569136500358582,0.906,0.094,0.9487,0.0511,0.4883,0.5117,0.766,0.2338,0.772,0.2281,0.9785,0.02129,0.319,0.6807,0.2974,0.7026,0.983,0.01692,0.905,0.09534
11.jpg,23.55157470703125,0.9536430835723877,0.9365,0.06323,0.9526,0.04742,0.679,0.3208,0.4805,0.5195,0.5156,0.4844,0.9795,0.02065,0.331,0.669,0.331,0.669,0.9824,0.01744,0.8843,0.11597
12.jpg,23.340980529785156,0.9556595087051392,0.9365,0.0637,0.966,0.0341,0.396,0.604,0.604,0.396,0.8223,0.1779,0.995,0.004982,0.1968,0.803,0.3242,0.676,0.9565,0.04337,0.911,0.0888
13.jpg,23.968351364135742,0.9553735852241516,0.983,0.01692,0.9834,0.01666,0.6333,0.3667,0.8857,0.1144,0.9033,0.0967,0.984,0.0159,0.3242,0.676,0.385,0.615,0.942,0.05835,0.9087,0.0914
14.jpg,23.68436622619629,0.9192829728126526,0.4111,0.589,0.948,0.05185,0.4727,0.5273,0.2227,0.7773,0.3738,0.626,0.9697,0.03021,0.03114,0.9688,0.22,0.78,0.9917,0.008446,0.941,0.0592
15.jpg,23.65463638305664,0.9547872543334961,0.9487,0.05145,0.9844,0.01543,0.585,0.4148,0.858,0.1422,0.9194,0.0804,0.993,0.006905,0.1968,0.803,0.2338,0.766,0.95,0.0496,0.955,0.04468
16.jpg,22.465158462524414,0.9137252569198608,0.8457,0.154,0.928,0.0716,0.5117,0.4883,0.434,0.566,0.5547,0.4456,0.951,0.04886,0.2338,0.766,0.1624,0.8374,0.958,0.04208,0.876,0.1242
17.jpg,23.798837661743164,0.954810380935669,0.9185,0.08154,0.9727,0.02718,0.7637,0.2366,0.8223,0.1779,0.9546,0.04535,0.9917,0.008316,0.06854,0.9316,0.5273,0.4727,0.964,0.03622,0.928,0.0716
18.jpg,24.00755500793457,0.9543489217758179,0.9126,0.0876,0.9727,0.02759,0.676,0.3242,0.881,0.1192,0.85,0.15,0.955,0.04468,0.3887,0.6113,0.3738,0.626,0.9497,0.05032,0.899,0.1009
19.jpg,24.09273910522461,0.9561029076576233,0.89,0.1097,0.9746,0.02518,0.662,0.3381,0.785,0.2147,0.746,0.254,0.9644,0.03568,0.4417,0.558,0.2847,0.7153,0.9097,0.0901,0.89,0.1097
20.jpg,17.959548950195312,0.9163918495178223,0.7026,0.2974,0.9565,0.04337,0.6406,0.3594,0.02931,0.9707,0.126,0.874,0.9365,0.0637,0.4495,0.551,0.785,0.2147,0.9927,0.007122,0.848,0.152
21.jpg,18.585126876831055,0.9190049171447754,0.9097,0.0901,0.9683,0.03162,0.539,0.461,0.05185,0.948,0.212,0.788,0.9346,0.0656,0.09204,0.908,0.5815,0.4187,0.9956,0.0042,0.895,0.1052
22.jpg,20.43572998046875,0.9275349974632263,0.8335,0.1666,0.9727,0.02718,0.6333,0.3667,0.0827,0.9175,0.1848,0.8154,0.9727,0.02759,0.10156,0.8984,0.2942,0.7056,0.994,0.005642,0.961,0.03906
23.jpg,21.00950050354004,0.9199944138526917,0.902,0.0981,0.9897,0.01033,0.766,0.2338,0.2847,0.7153,0.4,0.6,0.9365,0.0637,0.0661,0.934,0.2568,0.743,0.9976,0.00236,0.974,0.02596
24.jpg,19.766490936279297,0.9200896620750427,0.94,0.0601,0.9688,0.03114,0.6724,0.3276,0.18,0.82,0.1052,0.895,0.956,0.044,0.03705,0.963,0.596,0.4036,0.9995,0.000392,0.9443,0.05582
25.jpg,23.9150447845459,0.9252069592475891,0.626,0.3738,0.942,0.05835,0.593,0.4072,0.74,0.2598,0.7373,0.263,0.959,0.04083,0.04337,0.9565,0.2366,0.7637,0.987,0.01322,0.9526,0.04742
26.jpg,19.004453659057617,0.9202481508255005,0.9424,0.0575,0.958,0.04208,0.78,0.22,0.06854,0.9316,0.0792,0.921,0.7373,0.263,0.1666,0.8335,0.0863,0.9136,0.956,0.044,0.9272,0.07263
