image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Accurate and Natural Color Representation,"Inaccurate, Artifact and uncomfortable Color Cast","Harmonious, Suitable, and Aesthetically Pleasing Color Representation","Distorted, Unfitting, and Visually Displeasing Color Cast",Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects,Richly detailed, Blurry and indistinct,Sharp Aquatic Details,Blurred Movement,Natural Ambient Light,Artificial Light
0.jpg,20.799238204956055,0.7605252265930176,0.4302,0.57,0.8105,0.1896,0.154,0.8457,0.4302,0.57,0.22,0.78,0.953,0.04672,0.09534,0.905,0.2598,0.74,0.9966,0.00365,0.854,0.1461
1.jpg,19.17596435546875,0.9439523220062256,0.4727,0.5273,0.9185,0.08154,0.648,0.3523,0.0619,0.938,0.3345,0.6655,0.8965,0.10376,0.1721,0.8276,0.314,0.686,0.879,0.12085,0.788,0.212
2.jpg,16.350662231445312,0.893191397190094,0.3452,0.655,0.982,0.01826,0.895,0.1052,0.2281,0.772,0.4072,0.593,0.9673,0.0326,0.381,0.6187,0.3381,0.662,0.7773,0.2227,0.7373,0.263
3.jpg,24.7117977142334,0.9241889715194702,0.02556,0.9746,0.9307,0.0695,0.734,0.2659,0.5273,0.4727,0.8057,0.1943,0.998,0.001867,0.1312,0.8687,0.669,0.331,0.9917,0.008446,0.96,0.04025
4.jpg,24.97150993347168,0.9498127698898315,0.05032,0.9497,0.8916,0.1082,0.772,0.2281,0.852,0.1481,0.9634,0.03677,0.998,0.001957,0.06097,0.939,0.434,0.566,0.9185,0.08154,0.679,0.3208
5.jpg,26.0084228515625,0.9270138144493103,0.152,0.848,0.967,0.03308,0.4648,0.535,0.02975,0.97,0.1384,0.8613,0.978,0.02194,0.8774,0.1225,0.2942,0.7056,0.9893,0.01065,0.824,0.1755
6.jpg,26.165307998657227,0.9307010769844055,0.154,0.8457,0.813,0.1871,0.57,0.4302,0.02333,0.9766,0.15,0.85,0.9834,0.0164,0.662,0.3381,0.2255,0.7744,0.9893,0.01065,0.7744,0.2255
7.jpg,19.026466369628906,0.9176784157752991,0.396,0.604,0.9727,0.02759,0.8057,0.1943,0.8706,0.1294,0.8975,0.1023,0.966,0.0341,0.4263,0.5737,0.7373,0.263,0.984,0.0159,0.867,0.1329
8.jpg,19.47876739501953,0.9292606115341187,0.2394,0.7607,0.983,0.01718,0.879,0.12085,0.8706,0.1294,0.9243,0.07587,0.981,0.01912,0.3008,0.699,0.8154,0.1848,0.982,0.01826,0.848,0.152
9.jpg,20.08297348022461,0.9331189393997192,0.3345,0.6655,0.985,0.01519,0.7744,0.2255,0.734,0.2659,0.879,0.12085,0.981,0.01912,0.396,0.604,0.679,0.3208,0.9683,0.03162,0.82,0.18
