image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Accurate and Natural Color Representation,"Inaccurate, Artifact and uncomfortable Color Cast","Harmonious, Suitable, and Aesthetically Pleasing Color Representation","Distorted, Unfitting, and Visually Displeasing Color Cast",Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects,Richly detailed, Blurry and indistinct,Sharp Aquatic Details,Blurred Movement,Natural Ambient Light,Artificial Light
0.jpg,20.5274600982666,0.7849071621894836,0.2338,0.766,0.8105,0.1896,0.304,0.696,0.967,0.03308,0.5737,0.4263,0.9746,0.02556,0.10376,0.8965,0.7188,0.2815,0.998,0.001755,0.848,0.152
1.jpg,15.175941467285156,0.8606777191162109,0.07367,0.9263,0.8457,0.154,0.769,0.231,0.3667,0.6333,0.648,0.3523,0.8223,0.1779,0.251,0.749,0.15,0.85,0.8613,0.1384,0.813,0.1871
2.jpg,17.5708065032959,0.9029383063316345,0.3774,0.6226,0.9746,0.02518,0.7983,0.2018,0.4922,0.508,0.6655,0.3345,0.9087,0.0914,0.4111,0.589,0.1896,0.8105,0.686,0.314,0.766,0.2338
3.jpg,24.77902603149414,0.932474672794342,0.055,0.945,0.9316,0.06854,0.7373,0.263,0.7026,0.2974,0.951,0.04886,0.9937,0.00629,0.03516,0.965,0.5156,0.4844,0.986,0.01428,0.938,0.0619
4.jpg,24.95717430114746,0.9356447458267212,0.2942,0.7056,0.9863,0.01385,0.637,0.363,0.985,0.01495,0.9976,0.00255,0.993,0.006798,0.331,0.669,0.1366,0.8633,0.824,0.1755,0.9136,0.0863
5.jpg,24.43262481689453,0.9461619853973389,0.2394,0.7607,0.9785,0.02162,0.7026,0.2974,0.304,0.696,0.5776,0.4226,0.9834,0.01666,0.551,0.4495,0.3774,0.6226,0.939,0.06097,0.8174,0.1824
6.jpg,24.710786819458008,0.9466830492019653,0.1848,0.8154,0.982,0.01826,0.865,0.1348,0.269,0.731,0.6074,0.3923,0.9824,0.01772,0.4417,0.558,0.596,0.4036,0.981,0.01883,0.801,0.1993
7.jpg,20.97484016418457,0.9121456146240234,0.4377,0.562,0.961,0.03906,0.78,0.22,0.983,0.01692,0.982,0.01799,0.9717,0.02844,0.2878,0.7124,0.5815,0.4187,0.97,0.02975,0.8916,0.1082
8.jpg,21.058046340942383,0.9162235856056213,0.57,0.4302,0.9883,0.01187,0.8965,0.10376,0.9766,0.02333,0.98,0.02002,0.9746,0.02556,0.3486,0.6514,0.558,0.4417,0.983,0.01692,0.906,0.094
9.jpg,21.257295608520508,0.9194618463516235,0.4377,0.562,0.987,0.01302,0.796,0.2043,0.9727,0.02718,0.988,0.01224,0.966,0.0341,0.4036,0.596,0.5195,0.4805,0.945,0.055,0.881,0.1192
10.jpg,22.333620071411133,0.9302517175674438,0.4648,0.535,0.983,0.01692,0.867,0.1329,0.9883,0.01187,0.9873,0.01263,0.9697,0.03021,0.4072,0.593,0.6113,0.3887,0.982,0.01799,0.8726,0.1277
11.jpg,22.769386291503906,0.9297424554824829,0.615,0.385,0.9805,0.01971,0.842,0.1582,0.953,0.04672,0.987,0.01322,0.988,0.012054,0.126,0.874,0.655,0.3452,0.9546,0.04535,0.89,0.1097
12.jpg,22.98858642578125,0.9298144578933716,0.5776,0.4226,0.9785,0.02162,0.749,0.251,0.976,0.0237,0.9897,0.01017,0.9844,0.01543,0.212,0.788,0.7188,0.2815,0.982,0.01826,0.8823,0.11755
13.jpg,22.082996368408203,0.9193134307861328,0.686,0.314,0.9917,0.00819,0.9097,0.0901,0.9946,0.005386,0.997,0.0028,0.978,0.02194,0.381,0.6187,0.808,0.1919,0.9805,0.01942,0.921,0.0792
14.jpg,24.844219207763672,0.9311149716377258,0.0628,0.937,0.959,0.04083,0.679,0.3208,0.686,0.314,0.9443,0.05582,0.988,0.012054,0.0575,0.9424,0.3381,0.662,0.9863,0.01363,0.9272,0.07263
15.jpg,22.212963104248047,0.9215109944343567,0.7373,0.263,0.9927,0.007122,0.9185,0.08154,0.989,0.01116,0.996,0.003765,0.9795,0.02065,0.2783,0.7217,0.644,0.3557,0.9697,0.03021,0.9194,0.0804
16.jpg,22.357101440429688,0.9145828485488892,0.461,0.539,0.9785,0.02162,0.8916,0.1082,0.9746,0.02518,0.9937,0.00639,0.9863,0.01363,0.1603,0.84,0.7373,0.263,0.981,0.01883,0.854,0.1461
17.jpg,21.950651168823242,0.9172282814979553,0.7773,0.2227,0.9893,0.01065,0.8843,0.11597,0.992,0.007935,0.9917,0.008316,0.974,0.02596,0.2451,0.755,0.8774,0.1225,0.992,0.007576,0.887,0.1128
18.jpg,21.739532470703125,0.9119592905044556,0.539,0.461,0.9907,0.009415,0.8857,0.1144,0.9824,0.01772,0.987,0.01322,0.907,0.0927,0.3452,0.655,0.74,0.2598,0.969,0.03067,0.8726,0.1277
19.jpg,21.712366104125977,0.9167966842651367,0.535,0.4648,0.9917,0.00819,0.905,0.09534,0.9854,0.0145,0.988,0.01243,0.9688,0.03114,0.4072,0.593,0.644,0.3557,0.969,0.03067,0.876,0.1242
20.jpg,18.250717163085938,0.9164671301841736,0.11755,0.8823,0.979,0.02097,0.788,0.212,0.314,0.686,0.6406,0.3594,0.758,0.2422,0.752,0.248,0.8374,0.1624,0.994,0.00573,0.8374,0.1624
21.jpg,18.33527946472168,0.9093171954154968,0.4302,0.57,0.9717,0.02844,0.7026,0.2974,0.1582,0.842,0.57,0.4302,0.686,0.314,0.07477,0.9253,0.558,0.4417,0.9946,0.005386,0.899,0.1009
22.jpg,19.48983383178711,0.9088243842124939,0.304,0.696,0.9814,0.01854,0.803,0.1968,0.1624,0.8374,0.4456,0.5547,0.7188,0.2815,0.2942,0.7056,0.3381,0.662,0.993,0.006905,0.951,0.04886
23.jpg,19.781049728393555,0.9078612923622131,0.2751,0.725,0.989,0.01116,0.7744,0.2255,0.562,0.4377,0.637,0.363,0.803,0.1968,0.3523,0.648,0.504,0.496,0.998,0.001839,0.973,0.02676
24.jpg,18.389171600341797,0.8913352489471436,0.4187,0.5815,0.8887,0.11127,0.669,0.331,0.4263,0.5737,0.2451,0.755,0.728,0.272,0.0863,0.9136,0.7217,0.2783,0.9995,0.0004046,0.8774,0.1225
25.jpg,24.961511611938477,0.9272956252098083,0.1225,0.8774,0.9644,0.03568,0.842,0.1582,0.9443,0.05582,0.9897,0.01001,0.9946,0.00547,0.02844,0.9717,0.593,0.4072,0.9805,0.01942,0.948,0.05185
26.jpg,17.804555892944336,0.8912785649299622,0.3416,0.658,0.947,0.0534,0.662,0.3381,0.1404,0.86,0.4844,0.5156,0.4226,0.5776,0.0827,0.9175,0.461,0.539,0.9917,0.008316,0.9175,0.0827
27.jpg,17.77022361755371,0.9015412330627441,0.3738,0.626,0.929,0.07056,0.662,0.3381,0.3774,0.6226,0.4187,0.5815,0.6187,0.381,0.2095,0.7905,0.4417,0.558,0.9946,0.005302,0.958,0.04208
28.jpg,21.838937759399414,0.917975902557373,0.3923,0.6074,0.9717,0.02844,0.803,0.1968,0.9775,0.02263,0.9937,0.006588,0.9937,0.006588,0.1442,0.856,0.4302,0.57,0.967,0.03308,0.8823,0.11755
29.jpg,17.974401473999023,0.9040359258651733,0.535,0.4648,0.9805,0.01942,0.796,0.2043,0.1733,0.8267,0.5117,0.4883,0.6,0.4,0.0967,0.9033,0.566,0.434,0.9985,0.001549,0.8857,0.1144
30.jpg,18.612905502319336,0.9109014868736267,0.5737,0.4263,0.9546,0.04535,0.6333,0.3667,0.709,0.291,0.5195,0.4805,0.6333,0.3667,0.5,0.5,0.4766,0.5234,0.9985,0.001675,0.907,0.0927
31.jpg,18.107454299926758,0.9094381332397461,0.7607,0.2394,0.937,0.0628,0.4805,0.5195,0.4417,0.558,0.669,0.331,0.5,0.5,0.3738,0.626,0.331,0.669,0.9966,0.003483,0.8975,0.1023
32.jpg,18.02028465270996,0.899802565574646,0.8335,0.1666,0.8975,0.1023,0.5737,0.4263,0.5273,0.4727,0.74,0.2598,0.7124,0.2878,0.2847,0.7153,0.504,0.496,0.9995,0.000688,0.9126,0.0876
33.jpg,17.91236114501953,0.8977447152137756,0.4456,0.5547,0.8374,0.1624,0.589,0.4111,0.2018,0.7983,0.4263,0.5737,0.4187,0.5815,0.314,0.686,0.7983,0.2018,0.9985,0.001525,0.7153,0.2847
34.jpg,17.755271911621094,0.8877923488616943,0.1366,0.8633,0.615,0.385,0.254,0.746,0.385,0.615,0.6724,0.3276,0.9473,0.0526,0.07056,0.929,0.585,0.4148,0.998,0.001897,0.9688,0.03114
35.jpg,19.932035446166992,0.7762984037399292,0.1779,0.8223,0.82,0.18,0.4417,0.558,0.3523,0.648,0.8706,0.1294,0.955,0.04468,0.02065,0.9795,0.496,0.504,0.985,0.01519,0.965,0.03516
36.jpg,24.848752975463867,0.9358083009719849,0.3074,0.693,0.9697,0.03021,0.7905,0.2095,0.895,0.1052,0.9834,0.0164,0.987,0.01322,0.1366,0.8633,0.558,0.4417,0.97,0.02975,0.938,0.0619
37.jpg,19.774246215820312,0.7885444164276123,0.1624,0.8374,0.686,0.314,0.2173,0.7827,0.3452,0.655,0.74,0.2598,0.8174,0.1824,0.094,0.906,0.755,0.2451,0.8726,0.1277,0.941,0.0592
38.jpg,19.65363121032715,0.7862365245819092,0.0827,0.9175,0.655,0.3452,0.363,0.637,0.4417,0.558,0.895,0.1052,0.9834,0.01666,0.0827,0.9175,0.5776,0.4226,0.99,0.00956,0.9736,0.02635
39.jpg,19.254013061523438,0.7901911735534668,0.251,0.749,0.4727,0.5273,0.251,0.749,0.3108,0.6895,0.734,0.2659,0.9243,0.07587,0.03622,0.964,0.7905,0.2095,0.9927,0.00746,0.9346,0.0656
